date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2020-02-19 07:00:00,BUY,20.21,4943100,99900051.0,99900.051,0.0,48.949000000953674,4943100,20.21,0.0,BUY_SIGNAL
2020-02-25 07:00:00,SELL,18.84,4943100,93128004.0,93128.004,93128.004,92941796.94100001,0,,-6958303.008000004,SELL_SIGNAL
2020-02-27 07:00:00,BUY,19.88,4670400,92847552.0,92847.552,0.0,1397.3890000134706,4670400,19.88,0.0,BUY_SIGNAL
2020-03-10 07:00:00,SELL,18.44,4670400,86122176.0,86122.176,86122.176,85951329.03700002,0,,-6897620.35199999,SELL_SIGNAL
2020-04-07 07:00:00,BUY,17.17,5000900,85865453.00000001,85865.45300000002,0.0,10.584000006318092,5000900,17.17,0.0,BUY_SIGNAL
2020-06-12 07:00:00,SELL,19.05,5000900,95267145.0,95267.145,95267.145,95076621.29400001,0,,9211157.709999995,SELL_SIGNAL
2020-07-09 07:00:00,BUY,20.28,4683500,94981380.0,94981.38,0.0,259.9140000194311,4683500,20.28,0.0,BUY_SIGNAL
2020-07-27 07:00:00,SELL,19.05,4683500,89220675.0,89220.675,89220.675,89042493.56400003,0,,-5939146.3500000015,SELL_SIGNAL
2020-08-06 07:00:00,BUY,19.9,4470000,88953000.0,88953.0,0.0,540.5640000253916,4470000,19.9,0.0,BUY_SIGNAL
2020-10-29 07:00:00,SELL,21.8,4470000,97446000.0,97446.0,97446.0,97251648.56400003,0,,8298108.000000009,SELL_SIGNAL
2020-11-04 07:00:00,BUY,22.92,4238800,97153296.0,97153.296,0.0,1199.2680000215769,4238800,22.92,0.0,BUY_SIGNAL
2021-01-29 07:00:00,SELL,25.51,4238800,108131788.0,108131.788,108131.788,107916723.69200002,0,,10762228.423999999,SELL_SIGNAL
2021-02-03 07:00:00,BUY,29.19,3693300,107807427.0,107807.427,0.0,1489.2650000154972,3693300,29.19,0.0,BUY_SIGNAL
2021-03-25 07:00:00,SELL,33.52,3693300,123799416.00000001,123799.41600000001,123799.41600000001,123553306.43300004,0,,15744390.168000009,SELL_SIGNAL
2021-04-02 07:00:00,BUY,34.77,3549800,123426546.00000001,123426.54600000002,0.0,3333.8870000243187,3549800,34.77,0.0,BUY_SIGNAL
2021-06-18 07:00:00,SELL,41.73,3549800,148133154.0,148133.154,148133.154,147840221.579,0,,24410341.69199998,SELL_SIGNAL
2021-06-22 07:00:00,BUY,43.24,3415600,147690544.0,147690.544,0.0,1987.0349999964237,3415600,43.24,0.0,BUY_SIGNAL
2021-07-15 07:00:00,SELL,42.54,3415600,145299624.0,145299.624,145299.624,145011011.78699997,0,,-2681519.2480000095,SELL_SIGNAL
2021-07-26 07:00:00,BUY,45.35,3194400,144866040.0,144866.04,0.0,105.74699997901917,3194400,45.35,0.0,BUY_SIGNAL
2021-08-23 07:00:00,SELL,46.95,3194400,149977080.0,149977.08000000002,149977.08000000002,149677231.58699995,0,,4811085.8400000045,SELL_SIGNAL
2021-09-07 07:00:00,BUY,48.37,3091300,149526181.0,149526.181,0.0,1524.4059999585152,3091300,48.37,0.0,BUY_SIGNAL
2021-09-09 07:00:00,SELL,47.25,3091300,146063925.0,146063.92500000002,146063.92500000002,145773321.55599993,0,,-3754383.8499999917,SELL_SIGNAL
2021-09-15 07:00:00,BUY,47.61,3058700,145624707.0,145624.707,0.0,2989.8489999473095,3058700,47.61,0.0,BUY_SIGNAL
2021-09-27 07:00:00,SELL,47.15,3058700,144217705.0,144217.70500000002,144217.70500000002,143932259.43899992,0,,-1695437.4100000027,SELL_SIGNAL
2021-10-05 07:00:00,BUY,48.22,2981900,143787218.0,143787.218,0.0,1254.2209999263287,2981900,48.22,0.0,BUY_SIGNAL
2021-10-26 07:00:00,SELL,48.22,2981900,143787218.0,143787.218,143787.218,143500897.78499994,0,,-287574.436,SELL_SIGNAL
2021-10-28 07:00:00,BUY,49.84,2876300,143354792.0,143354.79200000002,0.0,2750.9929999411106,2876300,49.84,0.0,BUY_SIGNAL
2021-11-02 07:00:00,SELL,48.47,2876300,139414261.0,139414.261,139414.261,139138183.47099993,0,,-4219359.522000013,SELL_SIGNAL
2021-11-15 07:00:00,BUY,49.99,2780500,138997195.0,138997.195,0.0,1991.2759999334812,2780500,49.99,0.0,BUY_SIGNAL
2021-11-22 07:00:00,SELL,48.47,2780500,134770835.0,134770.835,134770.835,134503284.60599992,0,,-4495901.670000008,SELL_SIGNAL
2021-11-25 07:00:00,BUY,49.99,2687900,134368121.0,134368.121,0.0,795.4849999248981,2687900,49.99,0.0,BUY_SIGNAL
2021-12-06 07:00:00,SELL,48.47,2687900,130282513.0,130282.513,130282.513,130022743.45899993,0,,-4346173.026000009,SELL_SIGNAL
2022-02-09 07:00:00,BUY,46.54,2790900,129888486.0,129888.486,0.0,4368.972999930382,2790900,46.54,0.0,BUY_SIGNAL
2022-03-15 07:00:00,SELL,46.59,2790900,130028031.00000001,130028.03100000002,130028.03100000002,129772343.91099994,0,,-120511.06199998813,SELL_SIGNAL
2022-03-21 07:00:00,BUY,48.32,2683000,129642560.0,129642.56,0.0,141.35099993646145,2683000,48.32,0.0,BUY_SIGNAL
2022-04-26 07:00:00,SELL,50.86,2683000,136457380.0,136457.38,136457.38,136184606.59099996,0,,6541905.239999998,SELL_SIGNAL
2022-05-26 07:00:00,BUY,53.4,2547700,136047180.0,136047.18,0.0,1379.4109999537468,2547700,53.4,0.0,BUY_SIGNAL
2022-06-23 07:00:00,SELL,51.65,2547700,131588705.0,131588.70500000002,131588.70500000002,131326907.00099996,0,,-4721652.41,SELL_SIGNAL
2022-08-03 07:00:00,BUY,52.26,2510400,131193504.0,131193.50400000002,0.0,2209.496999964118,2510400,52.26,0.0,BUY_SIGNAL
2022-09-08 07:00:00,SELL,52.31,2510400,131319024.0,131319.024,131319.024,131058595.44899996,0,,-137118.0479999893,SELL_SIGNAL
2022-10-21 07:00:00,BUY,48.33,2709000,130925970.0,130925.97,0.0,1699.4789999574423,2709000,48.33,0.0,BUY_SIGNAL
2022-10-24 07:00:00,SELL,45.97,2709000,124532730.0,124532.73,124532.73,124285364.01899995,0,,-6642305.459999999,SELL_SIGNAL
2022-11-28 07:00:00,BUY,45.04,2756600,124157264.0,124157.264,0.0,3942.754999950528,2756600,45.04,0.0,BUY_SIGNAL
2022-12-30 07:00:00,SELL,47.4,2756600,130662840.0,130662.84,130662.84,130405457.07499994,0,,6244250.319999998,SELL_SIGNAL
2023-01-04 07:00:00,BUY,50.26,2592000,130273920.0,130273.92,0.0,1263.1549999415874,2592000,50.26,0.0,BUY_SIGNAL
2023-02-07 07:00:00,SELL,50.07,2592000,129781440.0,129781.44,129781.44,129523140.27499995,0,,-752042.8799999941,SELL_SIGNAL
2023-02-21 07:00:00,BUY,51.5,2512400,129388600.0,129388.6,0.0,5151.674999952316,2512400,51.5,0.0,BUY_SIGNAL
2023-02-24 07:00:00,SELL,50.45,2512400,126750580.0,126750.58,126750.58,126502230.51499996,0,,-2891521.159999993,SELL_SIGNAL
2023-04-04 07:00:00,BUY,50.32,2511400,126373648.0,126373.648,0.0,2208.866999953985,2511400,50.32,0.0,BUY_SIGNAL
2023-04-24 07:00:00,SELL,49.45,2511400,124188730.0,124188.73,124188.73,123942561.40699995,0,,-2433295.4599999934,SELL_SIGNAL
2023-05-15 07:00:00,BUY,50.63,2445500,123815665.0,123815.66500000001,0.0,3080.741999939084,2445500,50.63,0.0,BUY_SIGNAL
2023-09-27 07:00:00,SELL,68.73,2445500,168079215.0,168079.215,168079.215,167746137.31199992,0,,43927391.56999999,SELL_SIGNAL
2023-10-11 07:00:00,BUY,70.19,2387400,167571606.0,167571.606,0.0,6959.705999910831,2387400,70.19,0.0,BUY_SIGNAL
2023-10-18 07:00:00,SELL,69.46,2387400,165828803.99999997,165828.80399999997,165828.80399999997,165504106.0979999,0,,-2074459.6080000096,SELL_SIGNAL
2023-11-09 07:00:00,BUY,67.34,2455200,165333168.0,165333.168,0.0,5604.929999887943,2455200,67.34,0.0,BUY_SIGNAL
2024-01-11 07:00:00,SELL,69.32,2455200,170194463.99999997,170194.46399999998,170194.46399999998,169859680.00199988,0,,4520907.0719999755,SELL_SIGNAL
2024-02-02 07:00:00,BUY,73.34,2313700,169686758.0,169686.758,0.0,3235.2439998984337,2313700,73.34,0.0,BUY_SIGNAL
2024-04-09 07:00:00,SELL,82.42,2313700,190695154.0,190695.154,190695.154,190316998.93599987,0,,20627005.691999998,SELL_SIGNAL
2024-04-15 07:00:00,BUY,84.54,2248900,190122006.0,190122.006,0.0,4870.929999858141,2248900,84.54,0.0,BUY_SIGNAL
2024-04-16 07:00:00,SELL,81.98,2248900,184364822.0,184364.82200000001,184364.82200000001,184000963.28599986,0,,-6125913.644000004,SELL_SIGNAL
2024-04-25 07:00:00,BUY,89.66,2050100,183811966.0,183811.96600000001,0.0,5185.319999873638,2050100,89.66,0.0,BUY_SIGNAL
2024-07-18 07:00:00,SELL,111.38,2050100,228340138.0,228340.138,228340.138,227888643.04399985,0,,44071491.72400001,SELL_SIGNAL
2024-08-13 07:00:00,BUY,109.94,2070700,227652758.0,227652.758,0.0,8232.28599986434,2070700,109.94,0.0,BUY_SIGNAL
2024-09-11 07:00:00,SELL,110.2,2070700,228191140.0,228191.14,228191.14,227742990.0059999,0,,81999.72000001057,SELL_SIGNAL
2024-09-16 07:00:00,BUY,111.72,2036400,227506608.0,227506.608,0.0,8875.397999882698,2036400,111.72,0.0,BUY_SIGNAL
2024-09-17 07:00:00,SELL,111.21,2036400,226468044.0,226468.044,226468.044,226023983.30999988,0,,-1491500.0880000105,SELL_SIGNAL
2024-09-19 07:00:00,BUY,114.44,1973000,225790120.0,225790.12,0.0,8073.1899998784065,1973000,114.44,0.0,BUY_SIGNAL
2024-10-22 07:00:00,SELL,115.03,1973000,226954190.0,226954.19,226954.19,226508354.80999988,0,,710161.6200000069,SELL_SIGNAL
2024-11-12 07:00:00,BUY,117.49,1925900,226273991.0,226273.991,0.0,8089.818999886513,1925900,117.49,0.0,BUY_SIGNAL
2024-11-18 07:00:00,SELL,113.59,1925900,218762981.0,218762.981,218762.981,218333544.85699987,0,,-7948535.961999983,SELL_SIGNAL
2024-11-28 07:00:00,BUY,118.16,1845900,218111544.0,218111.544,0.0,3889.3129998743534,1845900,118.16,0.0,BUY_SIGNAL
2025-01-09 07:00:00,SELL,126.59,1845900,233672481.0,233672.481,233672.481,233209025.35099986,0,,15093592.038000012,SELL_SIGNAL
2025-01-24 07:00:00,BUY,131.54,1771100,232970494.0,232970.494,0.0,5560.856999874115,1771100,131.54,0.0,BUY_SIGNAL
2025-02-04 07:00:00,SELL,124.62,1771100,220714482.0,220714.48200000002,220714.48200000002,220278613.8929999,0,,-12697440.96399998,SELL_SIGNAL
2025-05-09 07:00:00,BUY,97.56,2255600,220056336.0,220056.336,0.0,2221.5569998919964,2255600,97.56,0.0,BUY_SIGNAL
2025-06-03 07:00:00,SELL,99.61,2255600,224680316.0,224680.316,224680.316,224233176.92499986,0,,4174619.3679999937,SELL_SIGNAL
2025-06-17 07:00:00,BUY,102.44,2186700,224005548.0,224005.548,0.0,3623.3769998550415,2186700,102.44,0.0,BUY_SIGNAL
2025-07-30 07:00:00,SELL,105.9,2186700,231571530.0,231571.53,231571.53,231112010.31699985,0,,7102838.940000017,SELL_SIGNAL
2025-08-28 07:00:00,BUY,104.02,2219500,230872390.0,230872.39,0.0,8747.926999866962,2219500,104.02,0.0,BUY_SIGNAL
2025-09-11 07:00:00,SELL,100.16,2219500,222305120.0,222305.12,222305.12,221869257.68699986,0,,-9011880.239999996,SELL_SIGNAL
2025-09-17 07:00:00,BUY,102.93,2153300,221639169.0,221639.169,0.0,8449.517999857664,2153300,102.93,0.0,BUY_SIGNAL
2025-09-23 07:00:00,SELL,98.97,2153300,213112101.0,213112.101,213112.101,212694326.31599984,0,,-8953292.202000016,SELL_SIGNAL
2025-10-23 07:00:00,BUY,96.2,2208700,212476940.0,212476.94,0.0,4909.375999838114,2208700,96.2,0.0,BUY_SIGNAL
2025-11-20 07:00:00,SELL,97.58,2208700,215524946.0,215524.946,215524.946,215098805.48399982,0,,2616956.1079999898,SELL_SIGNAL
2025-12-31 07:00:00,BUY,96.8,2219800,214876640.0,214876.64,0.0,7288.843999832869,2219800,96.8,0.0,BUY_SIGNAL
2026-02-06 07:00:00,SELL,98.0,2219800,217540400.0,217540.4,217540.4,217112608.04399982,0,,2228679.2000000067,SELL_SIGNAL
2026-04-09 07:00:00,BUY,79.1,2742000,216892199.99999997,216892.19999999998,0.0,3515.843999862671,2742000,79.1,0.0,BUY_SIGNAL
2026-04-17 07:00:00,SELL,75.0,2742000,205650000.0,205650.0,205650.0,205242215.84399986,0,,-11653499.999999985,SELL_SIGNAL
