date,close,cash,shares,market_value,total_value,unrealized_pnl
2022-01-04 07:00:00,66.36,100000000.0,0,0.0,100000000.0,0.0
2022-01-05 07:00:00,66.02,100000000.0,0,0.0,100000000.0,0.0
2022-01-06 07:00:00,66.22,100000000.0,0,0.0,100000000.0,0.0
2022-01-07 07:00:00,65.25,100000000.0,0,0.0,100000000.0,0.0
2022-01-10 07:00:00,64.05,100000000.0,0,0.0,100000000.0,0.0
2022-01-11 07:00:00,63.47,100000000.0,0,0.0,100000000.0,0.0
2022-01-12 07:00:00,65.49,100000000.0,0,0.0,100000000.0,0.0
2022-01-13 07:00:00,65.25,100000000.0,0,0.0,100000000.0,0.0
2022-01-14 07:00:00,64.53,100000000.0,0,0.0,100000000.0,0.0
2022-01-17 07:00:00,62.6,100000000.0,0,0.0,100000000.0,0.0
2022-01-18 07:00:00,62.65,100000000.0,0,0.0,100000000.0,0.0
2022-01-19 07:00:00,64.29,100000000.0,0,0.0,100000000.0,0.0
2022-01-20 07:00:00,64.53,100000000.0,0,0.0,100000000.0,0.0
2022-01-21 07:00:00,64.14,100000000.0,0,0.0,100000000.0,0.0
2022-01-24 07:00:00,62.56,100000000.0,0,0.0,100000000.0,0.0
2022-01-25 07:00:00,63.09,100000000.0,0,0.0,100000000.0,0.0
2022-01-26 07:00:00,63.52,100000000.0,0,0.0,100000000.0,0.0
2022-01-27 07:00:00,63.33,100000000.0,0,0.0,100000000.0,0.0
2022-01-28 07:00:00,63.81,100000000.0,0,0.0,100000000.0,0.0
2022-02-07 07:00:00,64.48,100000000.0,0,0.0,100000000.0,0.0
2022-02-08 07:00:00,65.64,100000000.0,0,0.0,100000000.0,0.0
2022-02-09 07:00:00,65.97,2586.4839999973774,1521900,100399743.0,100402329.484,502226.9999999974
2022-02-10 07:00:00,65.64,2586.4839999973774,1521900,99897516.0,99900102.484,0.0
2022-02-11 07:00:00,65.16,2586.4839999973774,1521900,99167004.0,99169590.484,-730512.000000006
2022-02-14 07:00:00,63.57,2586.4839999973774,1521900,96747183.0,96749769.484,-3150333.0000000005
2022-02-15 07:00:00,64.19,97057497.664,0,0.0,97057497.664,0.0
2022-02-16 07:00:00,64.0,97057497.664,0,0.0,97057497.664,0.0
2022-02-17 07:00:00,64.77,97057497.664,0,0.0,97057497.664,0.0
2022-02-18 07:00:00,64.53,97057497.664,0,0.0,97057497.664,0.0
2022-02-21 07:00:00,64.48,97057497.664,0,0.0,97057497.664,0.0
2022-02-22 07:00:00,66.31,97057497.664,0,0.0,97057497.664,0.0
2022-02-23 07:00:00,66.36,2057.1820000112057,1462200,97031592.0,97033649.18200001,73109.99999999584
2022-02-24 07:00:00,65.88,2057.1820000112057,1462200,96329736.0,96331793.18200001,-628746.00000001
2022-02-25 07:00:00,66.26,2057.1820000112057,1462200,96885372.00000001,96887429.18200003,-73109.99999999584
2022-02-28 07:00:00,65.49,2057.1820000112057,1462200,95759477.99999999,95761535.182,-1199004.0000000107
2022-03-01 07:00:00,65.49,2057.1820000112057,1462200,95759477.99999999,95761535.182,-1199004.0000000107
2022-03-02 07:00:00,64.77,2057.1820000112057,1462200,94706694.0,94708751.18200001,-2251788.0000000093
2022-03-03 07:00:00,65.73,2057.1820000112057,1462200,96110406.0,96112463.18200001,-848075.9999999976
2022-03-04 07:00:00,65.4,2057.1820000112057,1462200,95627880.00000001,95629937.18200003,-1330601.999999995
2022-03-07 07:00:00,64.63,2057.1820000112057,1462200,94501986.0,94504043.18200001,-2456496.00000001
2022-03-08 07:00:00,64.63,2057.1820000112057,1462200,94501986.0,94504043.18200001,-2456496.00000001
2022-03-09 07:00:00,64.43,2057.1820000112057,1462200,94209546.00000001,94211603.18200003,-2748935.9999999935
2022-03-10 07:00:00,64.29,94169111.65,0,0.0,94169111.65,0.0
2022-03-11 07:00:00,64.05,94169111.65,0,0.0,94169111.65,0.0
2022-03-14 07:00:00,63.42,94169111.65,0,0.0,94169111.65,0.0
2022-03-15 07:00:00,63.28,94169111.65,0,0.0,94169111.65,0.0
2022-03-16 07:00:00,63.28,94169111.65,0,0.0,94169111.65,0.0
2022-03-17 07:00:00,62.99,94169111.65,0,0.0,94169111.65,0.0
2022-03-18 07:00:00,63.37,94169111.65,0,0.0,94169111.65,0.0
2022-03-21 07:00:00,64.96,94169111.65,0,0.0,94169111.65,0.0
2022-03-22 07:00:00,65.11,94169111.65,0,0.0,94169111.65,0.0
2022-03-23 07:00:00,65.01,94169111.65,0,0.0,94169111.65,0.0
2022-03-24 07:00:00,64.53,94169111.65,0,0.0,94169111.65,0.0
2022-03-25 07:00:00,66.89,94169111.65,0,0.0,94169111.65,0.0
2022-03-28 07:00:00,69.35,5139.748000010848,1403400,97325789.99999999,97330929.748,3255887.99999999
