date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2025-02-24 07:00:00,BUY,57.28,1744000,99896320.0,99896.32,0.0,3783.6800000071526,1744000,57.28,0.0,BUY_SIGNAL
2025-03-31 07:00:00,SELL,58.16,1744000,101431040.0,101431.04000000001,101431.04000000001,101231961.6,0,,1331857.919999992,SELL_SIGNAL
2025-04-15 07:00:00,BUY,55.21,1831700,101128157.0,101128.157,0.0,2676.4429999887943,1831700,55.21,0.0,BUY_SIGNAL
2025-06-03 07:00:00,SELL,60.13,1831700,110140121.0,110140.121,110140.121,109922517.20099998,0,,8791683.758000005,SELL_SIGNAL
2025-06-13 07:00:00,BUY,61.81,1776600,109811646.0,109811.64600000001,0.0,1059.5549999773502,1776600,61.81,0.0,BUY_SIGNAL
2025-08-01 07:00:00,SELL,65.4,1776600,116189640.00000001,116189.64000000001,116189.64000000001,115958320.27499999,0,,6145614.720000007,SELL_SIGNAL
2025-08-06 07:00:00,BUY,68.9,1681300,115841570.00000001,115841.57000000002,0.0,908.7049999833107,1681300,68.9,0.0,BUY_SIGNAL
2025-11-05 07:00:00,SELL,81.5,1681300,137025950.0,137025.95,137025.95,136752806.805,0,,20910328.09999999,SELL_SIGNAL
2025-11-18 07:00:00,BUY,82.5,1655900,136611750.0,136611.75,0.0,4445.055000007153,1655900,82.5,0.0,BUY_SIGNAL
2025-11-25 07:00:00,SELL,79.0,1655900,130816100.0,130816.1,130816.1,130558912.85500002,0,,-6057282.199999999,SELL_SIGNAL
2025-12-04 07:00:00,BUY,85.0,1534400,130424000.0,130424.0,0.0,4488.8550000190735,1534400,85.0,0.0,BUY_SIGNAL
2025-12-15 07:00:00,SELL,78.4,1534400,120296960.00000001,120296.96000000002,120296.96000000002,120060854.93500005,0,,-10367633.919999992,SELL_SIGNAL
2025-12-23 07:00:00,BUY,85.0,1411000,119935000.0,119935.0,0.0,5919.935000047088,1411000,85.0,0.0,BUY_SIGNAL
