date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2022-02-21 07:00:00,BUY,27.38,3648600,99898668.0,99898.668,0.0,1433.332000002265,3648600,27.38,0.0,BUY_SIGNAL
2022-03-15 07:00:00,SELL,26.02,3648600,94936572.0,94936.572,94936.572,94748132.18800001,0,,-5151969.1439999975,SELL_SIGNAL
2022-06-02 07:00:00,BUY,17.89,5290800,94652412.0,94652.412,0.0,1067.776000007987,5290800,17.89,0.0,BUY_SIGNAL
2022-06-14 07:00:00,SELL,15.35,5290800,81213780.0,81213.78,81213.78,81052420.216,0,,-13601059.560000004,SELL_SIGNAL
2022-07-12 07:00:00,BUY,13.73,5897400,80971302.0,80971.302,0.0,146.91400000452995,5897400,13.73,0.0,BUY_SIGNAL
2022-08-31 07:00:00,SELL,15.84,5897400,93414816.0,93414.816,93414.816,93228133.282,0,,12256684.367999997,SELL_SIGNAL
2022-11-21 07:00:00,BUY,10.99,8474500,93134755.0,93134.755,0.0,243.52700001001358,8474500,10.99,0.0,BUY_SIGNAL
2022-12-26 07:00:00,SELL,12.16,8474500,103049920.0,103049.92,103049.92,102844063.687,0,,9709065.16,SELL_SIGNAL
2023-01-06 07:00:00,BUY,12.9,7964400,102740760.0,102740.76000000001,0.0,562.9270000010729,7964400,12.9,0.0,BUY_SIGNAL
2023-02-08 07:00:00,SELL,12.96,7964400,103218624.0,103218.624,103218.624,103012749.679,0,,271426.75200000394,SELL_SIGNAL
2023-02-21 07:00:00,BUY,13.9,7403500,102908650.0,102908.65000000001,0.0,1191.0289999991655,7403500,13.9,0.0,BUY_SIGNAL
2023-02-23 07:00:00,SELL,12.9,7403500,95505150.0,95505.15000000001,95505.15000000001,95315330.72899999,0,,-7594510.300000001,SELL_SIGNAL
2023-03-16 07:00:00,BUY,13.5,7053300,95219550.0,95219.55,0.0,561.1789999902248,7053300,13.5,0.0,BUY_SIGNAL
2023-04-21 07:00:00,SELL,14.3,7053300,100862190.0,100862.19,100862.19,100661026.799,0,,5440915.620000004,SELL_SIGNAL
2023-05-09 07:00:00,BUY,14.97,6717400,100559478.0,100559.478,0.0,989.320999994874,6717400,14.97,0.0,BUY_SIGNAL
2023-08-11 07:00:00,SELL,19.62,6717400,131795388.0,131795.388,131795.388,131532786.545,0,,30972319.224000003,SELL_SIGNAL
2023-08-18 07:00:00,BUY,20.63,6369400,131400722.0,131400.722,0.0,663.8229999989271,6369400,20.63,0.0,BUY_SIGNAL
2023-08-21 07:00:00,SELL,20.14,6369400,128279716.0,128279.716,128279.716,128023820.39099999,0,,-3377565.4319999903,SELL_SIGNAL
2023-08-23 07:00:00,BUY,21.53,5940300,127894659.0,127894.659,0.0,1266.7319999933243,5940300,21.53,0.0,BUY_SIGNAL
2023-09-25 07:00:00,SELL,22.36,5940300,132825108.0,132825.108,132825.108,132560724.516,0,,4664798.78399999,SELL_SIGNAL
2023-11-09 07:00:00,BUY,21.29,6220200,132428058.0,132428.058,0.0,238.45800000429153,6220200,21.29,0.0,BUY_SIGNAL
2023-12-18 07:00:00,SELL,22.12,6220200,137590824.0,137590.824,137590.824,137315880.81,0,,4887584.352000011,SELL_SIGNAL
2023-12-28 07:00:00,BUY,22.82,6011300,137177866.0,137177.866,0.0,836.944000005722,6011300,22.82,0.0,BUY_SIGNAL
2024-02-26 07:00:00,SELL,23.68,6011300,142347584.0,142347.584,142347.584,142063725.77600002,0,,4885022.831999997,SELL_SIGNAL
2024-02-27 07:00:00,BUY,24.48,5797400,141920352.0,141920.352,0.0,1453.4240000247955,5797400,24.48,0.0,BUY_SIGNAL
2024-04-08 07:00:00,SELL,25.56,5797400,148181544.0,148181.544,148181.544,147886634.33600003,0,,5964828.91199999,SELL_SIGNAL
2024-05-16 07:00:00,BUY,25.25,5851000,147737750.0,147737.75,0.0,1146.5860000252724,5851000,25.25,0.0,BUY_SIGNAL
2024-05-27 07:00:00,SELL,24.48,5851000,143232480.0,143232.48,143232.48,142947161.62600005,0,,-4791734.959999998,SELL_SIGNAL
2024-06-13 07:00:00,BUY,25.56,5587000,142803720.0,142803.72,0.0,637.9060000479221,5587000,25.56,0.0,BUY_SIGNAL
2024-06-25 07:00:00,SELL,24.03,5587000,134255610.0,134255.61000000002,134255.61000000002,133987736.68600005,0,,-8816621.219999986,SELL_SIGNAL
2024-07-22 07:00:00,BUY,24.13,5547100,133851523.0,133851.52300000002,0.0,2362.163000047207,5547100,24.13,0.0,BUY_SIGNAL
2024-07-24 07:00:00,SELL,23.37,5547100,129635727.0,129635.727,129635.727,129378817.70900005,0,,-4475067.453999989,SELL_SIGNAL
2024-08-19 07:00:00,BUY,22.92,5639100,129248172.00000001,129248.17200000002,0.0,1397.5370000302792,5639100,22.92,0.0,BUY_SIGNAL
2024-09-17 07:00:00,SELL,22.29,5639100,125695539.0,125695.539,125695.539,125445545.45900002,0,,-3804024.078000014,SELL_SIGNAL
2024-09-19 07:00:00,BUY,23.44,5346400,125319616.0,125319.61600000001,0.0,609.8430000245571,5346400,23.44,0.0,BUY_SIGNAL
2024-10-22 07:00:00,SELL,23.82,5346400,127351248.0,127351.248,127351.248,127097155.34700003,0,,1776929.5039999948,SELL_SIGNAL
2024-12-06 07:00:00,BUY,23.11,5494100,126968651.0,126968.651,0.0,1535.6960000395775,5494100,23.11,0.0,BUY_SIGNAL
2025-01-06 07:00:00,SELL,22.54,5494100,123837014.0,123837.014,123837.014,123590875.66800004,0,,-3379311.0280000013,SELL_SIGNAL
2025-02-05 07:00:00,BUY,22.62,5458300,123466746.0,123466.746,0.0,662.9220000356436,5458300,22.62,0.0,BUY_SIGNAL
2025-03-28 07:00:00,SELL,23.42,5458300,127833386.00000001,127833.38600000001,127833.38600000001,127578382.15000004,0,,4110973.228000004,SELL_SIGNAL
2025-05-07 07:00:00,BUY,20.58,6192900,127449881.99999999,127449.88199999998,0.0,1050.2680000513792,6192900,20.58,0.0,BUY_SIGNAL
2025-06-10 07:00:00,SELL,20.8,6192900,128812320.0,128812.32,128812.32,128555745.62800007,0,,1104813.3600000148,SELL_SIGNAL
2025-06-25 07:00:00,BUY,21.65,5931900,128425634.99999999,128425.635,0.0,1684.993000075221,5931900,21.65,0.0,BUY_SIGNAL
2025-09-25 07:00:00,SELL,36.01,5931900,213607719.0,213607.719,213607.719,213182188.55500007,0,,84754868.562,SELL_SIGNAL
2025-10-07 07:00:00,BUY,37.38,5697400,212968812.0,212968.812,0.0,407.7430000603199,5697400,37.38,0.0,BUY_SIGNAL
2025-10-21 07:00:00,SELL,34.6,5697400,197130040.0,197130.04,197130.04,196736187.66300008,0,,-16233032.080000004,SELL_SIGNAL
2025-11-21 07:00:00,BUY,31.27,6285200,196538204.0,196538.204,0.0,1445.459000080824,6285200,31.27,0.0,BUY_SIGNAL
2025-11-26 07:00:00,SELL,30.08,6285200,189058816.0,189058.816,189058.816,188682143.82700005,0,,-7857505.632000008,SELL_SIGNAL
2025-12-22 07:00:00,BUY,30.9,6100100,188493090.0,188493.09,0.0,560.7370000481606,6100100,30.9,0.0,BUY_SIGNAL
2026-01-06 07:00:00,SELL,29.15,6100100,177817915.0,177817.915,177817.915,177462839.90700006,0,,-11030810.829999998,SELL_SIGNAL
2026-01-09 07:00:00,BUY,30.95,5728100,177284695.0,177284.695,0.0,860.2120000720024,5728100,30.95,0.0,BUY_SIGNAL
2026-02-03 07:00:00,SELL,31.0,5728100,177571100.0,177571.1,177571.1,177216818.01200008,0,,-68737.19999999594,SELL_SIGNAL
2026-02-24 07:00:00,BUY,31.5,5620300,177039450.0,177039.45,0.0,328.56200009584427,5620300,31.5,0.0,BUY_SIGNAL
2026-03-10 07:00:00,SELL,30.0,5620300,168609000.0,168609.0,168609.0,168272110.5620001,0,,-8767668.0,SELL_SIGNAL
2026-04-09 07:00:00,BUY,28.95,5806700,168103965.0,168103.965,0.0,41.59700009226799,5806700,28.95,0.0,BUY_SIGNAL
2026-04-29 07:00:00,SELL,27.7,5806700,160845590.0,160845.59,160845.59,160523940.4170001,0,,-7580066.18,SELL_SIGNAL
2026-05-07 07:00:00,BUY,28.75,5577800,160361750.0,160361.75,0.0,1828.6670000851154,5577800,28.75,0.0,BUY_SIGNAL
