date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2025-02-06 07:00:00,BUY,61.63,1620900,99896067.0,99896.067,0.0,4036.932999998331,1620900,61.63,0.0,BUY_SIGNAL
2025-02-13 07:00:00,SELL,61.03,1620900,98923527.0,98923.527,98923.527,98729716.87900001,0,,-1170387.0540000023,SELL_SIGNAL
2025-02-24 07:00:00,BUY,61.96,1591800,98627928.0,98627.928,0.0,3160.951000005007,1591800,61.96,0.0,BUY_SIGNAL
2025-04-01 07:00:00,SELL,64.28,1591800,102320904.0,102320.904,102320.904,102119423.143,0,,3488334.1920000003,SELL_SIGNAL
2025-05-07 07:00:00,BUY,56.73,1798200,102011886.0,102011.886,0.0,5525.256999999285,1798200,56.73,0.0,BUY_SIGNAL
2025-05-13 07:00:00,SELL,56.73,1798200,102011886.0,102011.886,102011.886,101813387.48499998,0,,-204023.772,SELL_SIGNAL
2025-06-18 07:00:00,BUY,56.83,1789700,101708651.0,101708.651,0.0,3027.833999991417,1789700,56.83,0.0,BUY_SIGNAL
2025-09-18 07:00:00,SELL,64.48,1789700,115399856.0,115399.856,115399.856,115172084.12199998,0,,13460405.288000008,SELL_SIGNAL
2025-10-07 07:00:00,BUY,64.1,1794900,115053089.99999999,115053.08999999998,0.0,3941.031999990344,1794900,64.1,0.0,BUY_SIGNAL
2025-10-20 07:00:00,SELL,61.8,1794900,110924820.0,110924.82,110924.82,110706911.392,0,,-4350119.639999995,SELL_SIGNAL
