date,close,cash,position,entry_price,unrealized_pnl,total_equity
2024-12-12,1339.5,100000000.0,0,,0.0,100000000.0
2024-12-13,1335.0,100000000.0,0,,0.0,100000000.0
2024-12-16,1335.0,100000000.0,0,,0.0,100000000.0
2024-12-17,1331.0,100000000.0,0,,0.0,100000000.0
2024-12-18,1331.0,100000000.0,0,,0.0,100000000.0
2024-12-19,1312.3,100000000.0,0,,0.0,100000000.0
2024-12-20,1321.2,100000000.0,0,,0.0,100000000.0
2024-12-23,1328.0,100000000.0,0,,0.0,100000000.0
2024-12-24,1328.0,100000000.0,0,,0.0,100000000.0
2024-12-25,1350.1,100000000.0,0,,0.0,100000000.0
2024-12-26,1350.7,100000000.0,0,,0.0,100000000.0
2024-12-27,1348.5,100000000.0,0,,0.0,100000000.0
2024-12-30,1345.2,100000000.0,0,,0.0,100000000.0
2024-12-31,1345.5,100000000.0,0,,0.0,100000000.0
2025-01-02,1346.9,100000000.0,0,,0.0,100000000.0
2025-01-03,1324.0,100000000.0,0,,0.0,100000000.0
2025-01-06,1318.9,100000000.0,0,,0.0,100000000.0
2025-01-07,1318.4,100000000.0,0,,0.0,100000000.0
2025-01-08,1322.5,100000000.0,0,,0.0,100000000.0
2025-01-09,1314.5,100000000.0,0,,0.0,100000000.0
2025-01-10,1295.6,99997000.0,-1,1316.7,2110000.0000000135,102107000.00000001
2025-01-13,1299.5,99997000.0,-1,1316.7,1720000.0000000047,101717000.0
2025-01-14,1291.2,99997000.0,-1,1316.7,2550000.0,102547000.0
2025-01-15,1296.6,99997000.0,-1,1316.7,2010000.0000000137,102007000.00000001
2025-01-16,1295.1,99997000.0,-1,1316.7,2160000.0000000135,102157000.00000001
2025-01-17,1320.8,99997000.0,-1,1316.7,-409999.9999999909,99587000.00000001
2025-01-20,1324.5,99997000.0,-1,1316.7,-779999.9999999955,99217000.0
2025-01-21,1322.8,99997000.0,-1,1316.7,-609999.9999999909,99387000.00000001
2025-01-22,1320.5,99997000.0,-1,1316.7,-379999.99999999546,99617000.0
2025-01-23,1339.0,99997000.0,-1,1316.7,-2229999.9999999953,97767000.0
2025-01-24,1343.9,97651000.00000001,1,1340.1,380000.00000001816,98031000.00000003
2025-02-03,1318.0,97651000.00000001,1,1340.1,-2209999.9999999907,95441000.00000003
2025-02-04,1328.5,97651000.00000001,1,1340.1,-1159999.999999991,96491000.00000003
2025-02-05,1333.5,97651000.00000001,1,1340.1,-659999.9999999909,96991000.00000003
2025-02-06,1339.9,97651000.00000001,1,1340.1,-19999.99999998181,97631000.00000003
2025-02-07,1343.3,97651000.00000001,1,1340.1,320000.00000000454,97971000.00000001
2025-02-10,1330.5,97651000.00000001,1,1340.1,-959999.9999999909,96691000.00000003
2025-02-11,1334.1,97651000.00000001,1,1340.1,-600000.0,97051000.00000001
2025-02-12,1329.5,97651000.00000001,1,1340.1,-1059999.999999991,96591000.00000003
2025-02-13,1337.5,97651000.00000001,1,1340.1,-259999.99999999092,97391000.00000003
2025-02-14,1341.8,97651000.00000001,1,1340.1,170000.00000000454,97821000.00000001
2025-02-17,1335.3,97651000.00000001,1,1340.1,-479999.99999999546,97171000.00000001
2025-02-18,1338.9,97651000.00000001,1,1340.1,-119999.99999998181,97531000.00000003
2025-02-19,1344.5,97651000.00000001,1,1340.1,440000.0000000091,98091000.00000003
2025-02-20,1350.0,97651000.00000001,1,1340.1,990000.0000000091,98641000.00000003
2025-02-21,1353.8,97651000.00000001,1,1340.1,1370000.0000000047,99021000.00000001
2025-02-24,1366.3,97651000.00000001,1,1340.1,2620000.0000000047,100271000.00000001
2025-02-25,1359.8,97651000.00000001,1,1340.1,1970000.0000000047,99621000.00000001
2025-02-26,1361.9,97651000.00000001,1,1340.1,2180000.000000018,99831000.00000003
2025-02-27,1364.0,97651000.00000001,1,1340.1,2390000.0000000093,100041000.00000003
2025-02-28,1357.0,97651000.00000001,1,1340.1,1690000.000000009,99341000.00000003
2025-03-03,1361.0,97651000.00000001,1,1340.1,2090000.000000009,99741000.00000003
2025-03-04,1367.0,97651000.00000001,1,1340.1,2690000.0000000093,100341000.00000003
2025-03-05,1365.2,97651000.00000001,1,1340.1,2510000.0000000135,100161000.00000003
2025-03-06,1375.4,97651000.00000001,1,1340.1,3530000.000000018,101181000.00000003
2025-03-07,1385.2,97651000.00000001,1,1340.1,4510000.000000014,102161000.00000003
2025-03-10,1389.4,97651000.00000001,1,1340.1,4930000.000000019,102581000.00000003
2025-03-11,1392.0,97651000.00000001,1,1340.1,5190000.000000009,102841000.00000003
2025-03-12,1388.5,97651000.00000001,1,1340.1,4840000.000000009,102491000.00000003
2025-03-13,1385.5,97651000.00000001,1,1340.1,4540000.000000009,102191000.00000003
2025-03-14,1385.0,97651000.00000001,1,1340.1,4490000.000000009,102141000.00000003
2025-03-17,1390.3,97651000.00000001,1,1340.1,5020000.000000005,102671000.00000001
2025-03-18,1387.5,97651000.00000001,1,1340.1,4740000.000000009,102391000.00000003
2025-03-19,1377.0,97651000.00000001,1,1340.1,3690000.0000000093,101341000.00000003
2025-03-20,1376.5,97651000.00000001,1,1340.1,3640000.0000000093,101291000.00000003
2025-03-21,1373.9,97651000.00000001,1,1340.1,3380000.000000018,101031000.00000003
2025-03-24,1390.0,97651000.00000001,1,1340.1,4990000.000000009,102641000.00000003
2025-03-25,1386.7,97651000.00000001,1,1340.1,4660000.000000014,102311000.00000003
2025-03-26,1376.9,97651000.00000001,1,1340.1,3680000.000000018,101331000.00000003
2025-03-27,1374.8,97651000.00000001,1,1340.1,3470000.0000000047,101121000.00000001
2025-03-28,1365.1,97651000.00000001,1,1340.1,2500000.0,100151000.00000001
2025-03-31,1360.0,99335000.00000003,-1,1357.0,-300000.0,99035000.00000003
2025-04-01,1366.0,99335000.00000003,-1,1357.0,-900000.0,98435000.00000003
2025-04-02,1371.6,99335000.00000003,-1,1357.0,-1459999.999999991,97875000.00000004
2025-04-03,1275.6,99335000.00000003,-1,1357.0,8140000.000000009,107475000.00000004
2025-04-04,1267.1,99335000.00000003,-1,1357.0,8990000.00000001,108325000.00000004
2025-04-08,1178.5,99335000.00000003,-1,1357.0,17850000.0,117185000.00000003
2025-04-09,1178.0,99335000.00000003,-1,1357.0,17900000.0,117235000.00000003
2025-04-10,1260.4,99335000.00000003,-1,1357.0,9659999.99999999,108995000.00000001
2025-04-11,1307.0,99335000.00000003,-1,1357.0,5000000.0,104335000.00000003
2025-04-14,1317.0,99335000.00000003,-1,1357.0,4000000.0,103335000.00000003
2025-04-15,1307.7,99335000.00000003,-1,1357.0,4929999.999999995,104265000.00000003
2025-04-16,1290.0,99335000.00000003,-1,1357.0,6700000.0,106035000.00000003
2025-04-17,1296.0,99335000.00000003,-1,1357.0,6100000.0,105435000.00000003
2025-04-18,1290.0,99335000.00000003,-1,1357.0,6700000.0,106035000.00000003
2025-04-21,1291.0,99335000.00000003,-1,1357.0,6600000.0,105935000.00000003
2025-04-22,1292.0,99335000.00000003,-1,1357.0,6500000.0,105835000.00000003
