date,ticker,open,high,low,close,volume
2024-12-12,VN30F1M,1341.0,1351.4,1337.1,1339.5,216591
2024-12-13,VN30F1M,1336.0,1339.1,1330.1,1335.0,193475
2024-12-16,VN30F1M,1333.0,1338.3,1327.6,1335.0,167520
2024-12-17,VN30F1M,1336.6,1336.6,1326.5,1331.0,175869
2024-12-18,VN30F1M,1328.7,1335.0,1328.7,1331.0,142102
2024-12-19,VN30F1M,1315.3,1322.0,1309.8,1312.3,171914
2024-12-20,VN30F1M,1316.5,1321.5,1314.5,1321.2,136674
2024-12-23,VN30F1M,1325.8,1331.3,1325.7,1328.0,112685
2024-12-24,VN30F1M,1325.5,1328.4,1321.7,1328.0,130166
2024-12-25,VN30F1M,1333.6,1355.6,1332.0,1350.1,215245
2024-12-26,VN30F1M,1350.9,1351.2,1347.2,1350.7,114675
2024-12-27,VN30F1M,1352.9,1357.5,1344.0,1348.5,122641
2024-12-30,VN30F1M,1346.8,1347.4,1342.0,1345.2,94948
2024-12-31,VN30F1M,1344.9,1352.1,1342.0,1345.5,135212
2025-01-02,VN30F1M,1347.5,1351.2,1336.6,1346.9,153177
2025-01-03,VN30F1M,1345.8,1345.8,1323.1,1324.0,172932
2025-01-06,VN30F1M,1324.0,1331.0,1318.8,1318.9,148400
2025-01-07,VN30F1M,1319.0,1328.0,1315.7,1318.4,174014
2025-01-08,VN30F1M,1318.4,1322.9,1311.2,1322.5,186377
2025-01-09,VN30F1M,1323.0,1324.9,1310.1,1314.5,186134
2025-01-10,VN30F1M,1316.7,1317.2,1290.1,1295.6,202986
2025-01-13,VN30F1M,1287.6,1299.5,1286.3,1299.5,181090
2025-01-14,VN30F1M,1301.5,1301.5,1285.5,1291.2,191279
2025-01-15,VN30F1M,1293.9,1302.4,1291.2,1296.6,201483
2025-01-16,VN30F1M,1304.5,1309.7,1294.9,1295.1,162714
2025-01-17,VN30F1M,1308.9,1321.0,1307.7,1320.8,183914
2025-01-20,VN30F1M,1319.9,1326.9,1319.2,1324.5,139833
2025-01-21,VN30F1M,1324.7,1333.2,1316.6,1322.8,181676
2025-01-22,VN30F1M,1327.9,1328.7,1319.0,1320.5,186092
2025-01-23,VN30F1M,1321.3,1347.7,1321.0,1339.0,234042
2025-01-24,VN30F1M,1340.1,1346.4,1337.5,1343.9,156520
2025-02-03,VN30F1M,1331.0,1332.0,1313.5,1318.0,177185
2025-02-04,VN30F1M,1325.5,1331.0,1320.6,1328.5,172016
2025-02-05,VN30F1M,1331.6,1337.8,1329.6,1333.5,160904
2025-02-06,VN30F1M,1335.6,1344.9,1335.6,1339.9,158566
2025-02-07,VN30F1M,1338.5,1347.4,1335.0,1343.3,170155
2025-02-10,VN30F1M,1333.4,1337.6,1325.2,1330.5,185266
2025-02-11,VN30F1M,1332.5,1334.1,1327.6,1334.1,143632
2025-02-12,VN30F1M,1337.4,1342.0,1329.5,1329.5,139180
2025-02-13,VN30F1M,1331.9,1338.5,1326.2,1337.5,181417
2025-02-14,VN30F1M,1345.2,1350.4,1340.3,1341.8,163646
2025-02-17,VN30F1M,1342.0,1342.1,1335.3,1335.3,120605
2025-02-18,VN30F1M,1335.3,1348.3,1331.5,1338.9,202864
2025-02-19,VN30F1M,1337.3,1347.1,1335.4,1344.5,177765
2025-02-20,VN30F1M,1344.7,1352.8,1344.7,1350.0,126860
2025-02-21,VN30F1M,1345.0,1356.2,1344.7,1353.8,166983
2025-02-24,VN30F1M,1350.1,1366.8,1350.1,1366.3,170128
2025-02-25,VN30F1M,1367.0,1367.0,1358.0,1359.8,157253
2025-02-26,VN30F1M,1362.5,1363.7,1359.2,1361.9,121657
2025-02-27,VN30F1M,1363.5,1364.0,1350.8,1364.0,170339
2025-02-28,VN30F1M,1358.0,1360.9,1346.8,1357.0,203877
2025-03-03,VN30F1M,1362.6,1365.6,1356.2,1361.0,158067
2025-03-04,VN30F1M,1355.7,1369.0,1351.5,1367.0,200190
2025-03-05,VN30F1M,1365.0,1374.0,1364.6,1365.2,168137
2025-03-06,VN30F1M,1367.0,1376.9,1367.0,1375.4,190645
2025-03-07,VN30F1M,1374.5,1386.7,1373.3,1385.2,178116
2025-03-10,VN30F1M,1386.8,1394.5,1385.6,1389.4,149946
2025-03-11,VN30F1M,1379.0,1392.0,1375.8,1392.0,189794
2025-03-12,VN30F1M,1394.4,1395.5,1387.2,1388.5,173729
2025-03-13,VN30F1M,1390.0,1393.4,1384.3,1385.5,201319
2025-03-14,VN30F1M,1383.5,1393.8,1382.2,1385.0,193169
2025-03-17,VN30F1M,1387.1,1391.7,1386.1,1390.3,129550
2025-03-18,VN30F1M,1394.0,1395.2,1385.6,1387.5,136687
2025-03-19,VN30F1M,1385.9,1385.9,1376.7,1377.0,170296
2025-03-20,VN30F1M,1378.5,1382.9,1371.5,1376.5,168737
2025-03-21,VN30F1M,1375.0,1376.4,1370.2,1373.9,140468
2025-03-24,VN30F1M,1376.0,1390.0,1367.7,1390.0,205980
2025-03-25,VN30F1M,1391.2,1392.3,1384.2,1386.7,163716
2025-03-26,VN30F1M,1387.9,1393.2,1376.0,1376.9,209392
2025-03-27,VN30F1M,1375.0,1380.1,1373.9,1374.8,170429
2025-03-28,VN30F1M,1374.4,1376.0,1365.1,1365.1,169888
2025-03-31,VN30F1M,1357.0,1360.2,1355.1,1360.0,133610
2025-04-01,VN30F1M,1362.2,1367.5,1359.1,1366.0,130446
2025-04-02,VN30F1M,1367.2,1375.0,1367.2,1371.6,139222
2025-04-03,VN30F1M,1347.0,1347.0,1275.6,1275.6,317691
2025-04-04,VN30F1M,1252.5,1272.0,1220.0,1267.1,430454
2025-04-08,VN30F1M,1244.0,1247.0,1178.5,1178.5,378696
2025-04-09,VN30F1M,1115.5,1217.0,1115.0,1178.0,580281
2025-04-10,VN30F1M,1260.4,1260.4,1253.5,1260.4,48891
2025-04-11,VN30F1M,1279.7,1309.2,1263.6,1307.0,334703
2025-04-14,VN30F1M,1313.8,1320.3,1306.0,1317.0,215798
2025-04-15,VN30F1M,1310.0,1316.6,1299.7,1307.7,275452
2025-04-16,VN30F1M,1303.0,1313.5,1286.1,1290.0,245654
2025-04-17,VN30F1M,1288.3,1296.2,1284.2,1296.0,210259
2025-04-18,VN30F1M,1302.1,1318.8,1290.0,1290.0,217811
2025-04-21,VN30F1M,1294.8,1298.6,1286.7,1291.0,226177
2025-04-22,VN30F1M,1285.4,1296.0,1214.1,1292.0,421002
