date,ticker,open,high,low,close,volume,src,highest,lowest,middle,atr,atr_prev,epsilon,upper_band,lower_band,trend_state,signal
2020-01-02 07:00:00,FPT,21.08,21.33,20.97,21.18,896720,21.18,,,,,,,,,,HOLD
2020-01-03 07:00:00,FPT,21.29,21.37,20.75,20.82,2047880,20.82,,,,,,,,,,HOLD
2020-01-06 07:00:00,FPT,20.64,20.82,20.54,20.61,1091660,20.61,,,,,,,,,,HOLD
2020-01-07 07:00:00,FPT,20.72,21.0,20.61,21.0,837240,21.0,,,,,,,,,,HOLD
2020-01-08 07:00:00,FPT,20.79,20.86,20.54,20.54,1814290,20.54,,,,0.4220000000000006,,,,,,HOLD
2020-01-09 07:00:00,FPT,20.72,20.86,20.64,20.82,967050,20.82,,,,0.41400000000000076,0.4220000000000006,0.2110000000000003,,,,HOLD
2020-01-10 07:00:00,FPT,20.79,20.9,20.64,20.79,1018650,20.79,,,,0.3420000000000002,0.41400000000000076,0.20700000000000038,,,,HOLD
2020-01-13 07:00:00,FPT,20.75,20.82,20.61,20.64,786760,20.64,,,,0.3280000000000001,0.3420000000000002,0.1710000000000001,,,,HOLD
2020-01-14 07:00:00,FPT,20.64,20.75,20.61,20.61,721680,20.61,,,,0.27800000000000014,0.3280000000000001,0.16400000000000006,,,,HOLD
2020-01-15 07:00:00,FPT,20.61,20.64,20.54,20.61,940870,20.61,,,,0.20600000000000024,0.27800000000000014,0.13900000000000007,,,,HOLD
2020-01-16 07:00:00,FPT,20.61,21.04,20.61,20.97,1942970,20.97,,,,0.22800000000000012,0.20600000000000024,0.10300000000000012,,,,HOLD
2020-01-17 07:00:00,FPT,20.97,21.0,20.61,20.82,1388810,20.82,,,,0.2540000000000006,0.22800000000000012,0.11400000000000006,,,,HOLD
2020-01-20 07:00:00,FPT,20.79,20.97,20.68,20.75,1227100,20.75,,,,0.2700000000000003,0.2540000000000006,0.1270000000000003,,,,HOLD
2020-01-21 07:00:00,FPT,20.9,20.97,20.07,20.07,4351820,20.07,,,,0.4219999999999999,0.2700000000000003,0.13500000000000015,,,,HOLD
2020-01-22 07:00:00,FPT,19.88,20.43,19.77,20.43,3165650,20.43,,,,0.5339999999999996,0.4219999999999999,0.21099999999999994,,,,HOLD
2020-01-30 07:00:00,FPT,19.99,20.17,19.49,19.77,2638460,19.77,,,,0.6359999999999999,0.5339999999999996,0.2669999999999998,,,,HOLD
2020-01-31 07:00:00,FPT,19.52,19.85,18.8,18.8,4118150,18.8,,,,0.768,0.6359999999999999,0.31799999999999995,,,,HOLD
2020-02-03 07:00:00,FPT,17.93,18.98,17.72,18.62,3602970,18.62,,,,0.9620000000000004,0.768,0.384,,,,HOLD
2020-02-04 07:00:00,FPT,18.94,18.94,18.44,18.73,1651440,18.73,,,,0.8820000000000008,0.9620000000000004,0.4810000000000002,,,,HOLD
2020-02-05 07:00:00,FPT,18.91,19.09,18.8,18.8,1648620,18.8,21.18,18.62,19.9,0.8220000000000006,0.8820000000000008,0.4410000000000004,20.340999999999998,19.459,S,SELL
2020-02-06 07:00:00,FPT,18.98,19.38,18.73,19.38,1708550,19.38,21.0,18.62,19.810000000000002,0.764,0.8220000000000006,0.4110000000000003,20.221000000000004,19.399,S,HOLD
2020-02-07 07:00:00,FPT,19.16,19.34,19.09,19.27,1218660,19.27,21.0,18.62,19.810000000000002,0.6119999999999998,0.764,0.382,20.192000000000004,19.428,S,HOLD
2020-02-10 07:00:00,FPT,18.94,19.16,18.84,19.02,738090,19.02,21.0,18.62,19.810000000000002,0.4459999999999994,0.6119999999999998,0.3059999999999999,20.116000000000003,19.504,S,HOLD
2020-02-11 07:00:00,FPT,19.12,19.41,19.05,19.38,1085380,19.38,20.97,18.62,19.795,0.4239999999999995,0.4459999999999994,0.2229999999999997,20.018,19.572000000000003,S,HOLD
2020-02-12 07:00:00,FPT,19.45,19.77,19.41,19.56,1104870,19.56,20.97,18.62,19.795,0.4299999999999997,0.4239999999999995,0.21199999999999974,20.007,19.583000000000002,S,HOLD
2020-02-13 07:00:00,FPT,19.56,19.7,19.41,19.63,1030570,19.63,20.97,18.62,19.795,0.3579999999999998,0.4299999999999997,0.21499999999999986,20.01,19.580000000000002,S,HOLD
2020-02-14 07:00:00,FPT,19.56,19.7,19.52,19.7,884240,19.7,20.97,18.62,19.795,0.33599999999999997,0.3579999999999998,0.1789999999999999,19.974,19.616000000000003,S,HOLD
2020-02-17 07:00:00,FPT,19.74,19.74,19.52,19.6,726390,19.6,20.97,18.62,19.795,0.29399999999999976,0.33599999999999997,0.16799999999999998,19.963,19.627000000000002,S,HOLD
2020-02-18 07:00:00,FPT,19.67,20.24,19.63,20.24,1760940,20.24,20.97,18.62,19.795,0.3439999999999991,0.29399999999999976,0.14699999999999988,19.942,19.648000000000003,B,BUY
2020-02-19 07:00:00,FPT,20.21,20.32,20.07,20.14,681250,20.14,20.97,18.62,19.795,0.31599999999999895,0.3439999999999991,0.17199999999999954,19.967000000000002,19.623,B,HOLD
2020-02-20 07:00:00,FPT,20.28,20.39,20.07,20.17,780810,20.17,20.82,18.62,19.72,0.3219999999999992,0.31599999999999895,0.15799999999999947,19.878,19.561999999999998,B,HOLD
2020-02-21 07:00:00,FPT,20.21,20.21,19.77,19.77,1458040,19.77,20.75,18.62,19.685000000000002,0.3739999999999995,0.3219999999999992,0.1609999999999996,19.846000000000004,19.524,B,HOLD
2020-02-24 07:00:00,FPT,19.2,19.49,18.98,18.98,2261990,18.98,20.43,18.62,19.525,0.48799999999999955,0.3739999999999995,0.18699999999999975,19.712,19.337999999999997,S,SELL
2020-02-25 07:00:00,FPT,18.84,19.52,18.8,19.52,1407720,19.52,20.43,18.62,19.525,0.5039999999999999,0.48799999999999955,0.24399999999999977,19.769,19.281,S,HOLD
2020-02-26 07:00:00,FPT,19.3,19.96,19.16,19.88,3221270,19.88,20.24,18.62,19.43,0.6140000000000001,0.5039999999999999,0.25199999999999995,19.682,19.178,B,BUY
2020-02-27 07:00:00,FPT,19.88,20.43,19.74,20.24,2927040,20.24,20.24,18.62,19.43,0.6880000000000003,0.6140000000000001,0.30700000000000005,19.737,19.123,B,HOLD
2020-02-28 07:00:00,FPT,19.88,20.14,19.74,19.92,2132200,19.92,20.24,18.62,19.43,0.7,0.6880000000000003,0.34400000000000014,19.774,19.086,B,HOLD
2020-03-02 07:00:00,FPT,19.92,20.32,19.81,20.14,1787060,20.14,20.24,18.73,19.485,0.6440000000000005,0.7,0.35,19.835,19.134999999999998,B,HOLD
2020-03-03 07:00:00,FPT,20.32,20.61,20.14,20.21,1193800,20.21,20.24,18.8,19.52,0.5940000000000005,0.6440000000000005,0.32200000000000023,19.842,19.198,B,HOLD
2020-03-04 07:00:00,FPT,20.07,20.07,19.85,20.07,1660790,20.07,20.24,18.98,19.61,0.5060000000000002,0.5940000000000005,0.29700000000000026,19.907,19.313,B,HOLD
2020-03-05 07:00:00,FPT,20.07,20.21,19.74,19.74,1296450,19.74,20.24,18.98,19.61,0.46200000000000047,0.5060000000000002,0.2530000000000001,19.863,19.357,B,HOLD
2020-03-06 07:00:00,FPT,19.6,19.63,19.34,19.52,1305030,19.52,20.24,18.98,19.61,0.44200000000000017,0.46200000000000047,0.23100000000000023,19.841,19.378999999999998,B,HOLD
2020-03-09 07:00:00,FPT,18.51,18.8,18.18,18.18,4735140,18.18,20.24,18.18,19.21,0.6079999999999999,0.44200000000000017,0.22100000000000009,19.431,18.989,S,SELL
2020-03-10 07:00:00,FPT,18.44,18.8,18.18,18.69,2030340,18.69,20.24,18.18,19.21,0.6380000000000002,0.6079999999999999,0.30399999999999994,19.514,18.906000000000002,S,HOLD
2020-03-11 07:00:00,FPT,18.8,18.98,17.9,18.36,2753310,18.36,20.24,18.18,19.21,0.7820000000000007,0.6380000000000002,0.3190000000000001,19.529,18.891000000000002,S,HOLD
2020-03-12 07:00:00,FPT,17.57,17.82,17.1,17.39,3981670,17.39,20.24,17.39,18.814999999999998,0.9399999999999998,0.7820000000000007,0.39100000000000035,19.206,18.423999999999996,S,HOLD
2020-03-13 07:00:00,FPT,16.38,18.08,16.34,17.41,2919140,17.41,20.24,17.39,18.814999999999998,1.2079999999999997,0.9399999999999998,0.4699999999999999,19.284999999999997,18.345,S,HOLD
2020-03-16 07:00:00,FPT,17.41,17.97,17.17,17.21,1898960,17.21,20.24,17.21,18.725,1.0999999999999992,1.2079999999999997,0.6039999999999999,19.329,18.121000000000002,S,HOLD
2020-03-17 07:00:00,FPT,16.99,17.53,16.81,17.53,2474650,17.53,20.24,17.21,18.725,1.1199999999999997,1.0999999999999992,0.5499999999999996,19.275000000000002,18.175,S,HOLD
2020-03-18 07:00:00,FPT,17.72,17.75,17.48,17.5,1642800,17.5,20.24,17.21,18.725,0.9579999999999991,1.1199999999999997,0.5599999999999998,19.285,18.165000000000003,S,HOLD
2020-03-19 07:00:00,FPT,17.21,17.39,17.21,17.24,1296590,17.24,20.24,17.21,18.725,0.7639999999999993,0.9579999999999991,0.47899999999999954,19.204,18.246000000000002,S,HOLD
2020-03-20 07:00:00,FPT,17.42,17.44,17.12,17.24,1291360,17.24,20.24,17.21,18.725,0.4799999999999997,0.7639999999999993,0.3819999999999997,19.107,18.343000000000004,S,HOLD
2020-03-23 07:00:00,FPT,16.67,16.95,16.05,16.05,2826690,16.05,20.24,16.05,18.145,0.5579999999999998,0.4799999999999997,0.23999999999999985,18.384999999999998,17.905,S,HOLD
2020-03-24 07:00:00,FPT,16.27,16.27,15.73,16.09,2191500,16.09,20.24,16.05,18.145,0.5219999999999991,0.5579999999999998,0.2789999999999999,18.424,17.866,S,HOLD
2020-03-25 07:00:00,FPT,16.63,16.77,16.32,16.63,2131790,16.63,20.24,16.05,18.145,0.6039999999999992,0.5219999999999991,0.26099999999999957,18.406,17.884,S,HOLD
2020-03-26 07:00:00,FPT,16.45,16.58,15.98,15.98,2358310,15.98,20.21,15.98,18.095,0.675999999999999,0.6039999999999992,0.3019999999999996,18.397,17.793,S,HOLD
2020-03-27 07:00:00,FPT,16.05,16.05,15.51,15.58,2633750,15.58,20.21,15.58,17.895,0.7199999999999992,0.675999999999999,0.3379999999999995,18.233,17.557,S,HOLD
2020-03-30 07:00:00,FPT,14.64,14.86,14.5,14.61,2157690,14.61,20.21,14.61,17.41,0.6979999999999997,0.7199999999999992,0.3599999999999996,17.77,17.05,S,HOLD
2020-03-31 07:00:00,FPT,15.0,15.33,14.5,14.86,1663050,14.86,20.07,14.61,17.34,0.7559999999999999,0.6979999999999997,0.34899999999999987,17.689,16.991,S,HOLD
2020-04-01 07:00:00,FPT,14.75,15.62,14.75,15.29,1453030,15.29,19.74,14.61,17.174999999999997,0.7939999999999998,0.7559999999999999,0.37799999999999995,17.552999999999997,16.796999999999997,S,HOLD
2020-04-03 07:00:00,FPT,15.54,16.14,15.44,16.12,2072000,16.12,19.52,14.61,17.064999999999998,0.8340000000000003,0.7939999999999998,0.3969999999999999,17.461999999999996,16.668,S,HOLD
2020-04-06 07:00:00,FPT,16.63,17.17,16.45,17.17,2718990,17.17,18.69,14.61,16.65,0.9360000000000003,0.8340000000000003,0.41700000000000015,17.067,16.232999999999997,B,BUY
2020-04-07 07:00:00,FPT,17.17,17.24,16.81,17.1,2463810,17.1,18.69,14.61,16.65,0.8060000000000003,0.9360000000000003,0.46800000000000014,17.118,16.182,B,HOLD
2020-04-08 07:00:00,FPT,16.67,17.01,16.54,16.94,1576670,16.94,18.36,14.61,16.485,0.7520000000000007,0.8060000000000003,0.40300000000000014,16.887999999999998,16.082,B,HOLD
