date,ticker,open,high,low,close,volume
2025-01-02 07:00:00,HPG,21.83,22.12,21.83,22.08,14961200
2025-01-03 07:00:00,HPG,22.0,22.08,21.75,21.75,13200100
2025-01-06 07:00:00,HPG,21.75,21.83,21.3,21.3,15250500
2025-01-07 07:00:00,HPG,21.38,21.59,21.3,21.3,14399600
2025-01-08 07:00:00,HPG,21.3,21.47,21.22,21.47,12957600
2025-01-09 07:00:00,HPG,21.51,21.51,21.18,21.26,9236900
2025-01-10 07:00:00,HPG,21.26,21.34,20.89,20.89,14273600
2025-01-13 07:00:00,HPG,20.89,21.3,20.81,21.18,13576000
2025-01-14 07:00:00,HPG,21.22,21.26,21.1,21.14,7660700
2025-01-15 07:00:00,HPG,21.26,21.47,21.18,21.43,11221600
2025-01-16 07:00:00,HPG,21.51,21.63,21.3,21.51,11206800
2025-01-17 07:00:00,HPG,21.51,21.67,21.34,21.67,13950100
2025-01-20 07:00:00,HPG,21.67,21.88,21.63,21.63,9654200
2025-01-21 07:00:00,HPG,21.75,21.75,21.43,21.51,10421500
2025-01-22 07:00:00,HPG,21.59,21.59,21.38,21.38,10280000
2025-01-23 07:00:00,HPG,21.43,21.88,21.38,21.79,15792000
2025-01-24 07:00:00,HPG,21.79,21.79,21.63,21.71,10401300
2025-02-03 07:00:00,HPG,21.67,21.75,21.47,21.59,16971700
2025-02-04 07:00:00,HPG,21.67,22.08,21.63,21.96,17358200
2025-02-05 07:00:00,HPG,21.96,22.08,21.88,21.92,14466500
2025-02-06 07:00:00,HPG,21.92,22.04,21.88,21.92,13535000
2025-02-07 07:00:00,HPG,21.92,21.92,21.75,21.79,12547400
2025-02-10 07:00:00,HPG,21.67,21.67,20.77,20.77,61096500
2025-02-11 07:00:00,HPG,20.81,21.34,20.81,21.34,28896000
2025-02-12 07:00:00,HPG,21.43,21.43,21.14,21.14,13651300
2025-02-13 07:00:00,HPG,21.22,21.26,21.14,21.18,9499100
2025-02-14 07:00:00,HPG,21.34,21.51,21.26,21.34,18580600
2025-02-17 07:00:00,HPG,21.38,21.47,21.3,21.38,14369400
2025-02-18 07:00:00,HPG,21.55,21.75,21.51,21.71,24939500
2025-02-19 07:00:00,HPG,21.75,21.75,21.59,21.67,13653000
2025-02-20 07:00:00,HPG,21.71,21.75,21.67,21.71,11910400
2025-02-21 07:00:00,HPG,21.71,21.75,21.59,21.63,11063800
2025-02-24 07:00:00,HPG,23.14,23.14,22.53,22.65,73891100
2025-02-25 07:00:00,HPG,22.57,22.65,22.24,22.49,31575300
2025-02-26 07:00:00,HPG,22.57,22.86,22.53,22.69,31819600
2025-02-27 07:00:00,HPG,22.73,23.27,22.57,23.27,51120800
2025-02-28 07:00:00,HPG,23.22,23.22,22.86,22.9,24214400
2025-03-03 07:00:00,HPG,22.94,23.1,22.9,22.94,20663700
2025-03-04 07:00:00,HPG,22.94,22.94,22.61,22.78,27424100
2025-03-05 07:00:00,HPG,22.78,22.82,22.53,22.53,30385500
2025-03-06 07:00:00,HPG,22.57,22.86,22.57,22.86,36975600
2025-03-07 07:00:00,HPG,22.9,22.98,22.69,22.94,33131200
2025-03-10 07:00:00,HPG,22.98,23.06,22.86,22.86,23580500
2025-03-11 07:00:00,HPG,22.57,23.02,22.57,23.02,26088500
2025-03-12 07:00:00,HPG,23.06,23.06,22.73,22.73,20641600
2025-03-13 07:00:00,HPG,22.78,22.94,22.65,22.65,24809400
2025-03-14 07:00:00,HPG,22.65,22.78,22.53,22.53,18279900
2025-03-17 07:00:00,HPG,22.82,23.02,22.69,22.78,19719700
2025-03-18 07:00:00,HPG,22.82,22.94,22.57,22.57,18741700
2025-03-19 07:00:00,HPG,22.57,22.57,22.16,22.28,37925600
2025-03-20 07:00:00,HPG,22.32,22.45,22.12,22.2,25022500
2025-03-21 07:00:00,HPG,22.16,22.28,22.12,22.2,18912200
2025-03-24 07:00:00,HPG,22.2,22.28,22.0,22.2,16229800
2025-03-25 07:00:00,HPG,22.28,22.41,22.16,22.24,20101000
2025-03-26 07:00:00,HPG,22.24,22.86,22.2,22.53,43980000
2025-03-27 07:00:00,HPG,22.65,22.65,22.45,22.49,12009700
2025-03-28 07:00:00,HPG,22.45,22.49,22.16,22.2,17070200
2025-03-31 07:00:00,HPG,22.12,22.16,21.88,21.88,26536400
2025-04-01 07:00:00,HPG,21.92,22.12,21.88,22.08,14018400
2025-04-02 07:00:00,HPG,22.2,22.41,22.16,22.28,16785400
2025-04-03 07:00:00,HPG,21.1,21.63,20.73,20.73,80695800
2025-04-04 07:00:00,HPG,19.3,20.32,19.3,20.12,73181200
2025-04-08 07:00:00,HPG,19.22,19.63,18.73,18.73,35443300
2025-04-09 07:00:00,HPG,17.42,18.24,17.42,17.42,77156800
2025-04-10 07:00:00,HPG,18.6,18.6,18.6,18.6,3062400
2025-04-11 07:00:00,HPG,19.79,19.87,19.22,19.87,76273700
2025-04-14 07:00:00,HPG,20.28,21.06,20.24,20.73,51203900
2025-04-15 07:00:00,HPG,20.57,21.38,20.48,21.14,50570600
2025-04-16 07:00:00,HPG,21.18,21.26,20.48,20.85,25705300
2025-04-17 07:00:00,HPG,20.61,20.94,20.28,20.85,24441000
2025-04-18 07:00:00,HPG,20.98,21.06,20.81,20.81,20765500
2025-04-21 07:00:00,HPG,20.81,20.81,20.4,20.4,17306200
2025-04-22 07:00:00,HPG,20.28,20.53,19.14,20.48,47447000
2025-04-23 07:00:00,HPG,20.85,21.02,20.73,20.89,22232700
2025-04-24 07:00:00,HPG,21.02,21.02,20.61,20.94,17212000
2025-04-25 07:00:00,HPG,20.81,21.02,20.65,21.02,24849000
2025-04-28 07:00:00,HPG,21.02,21.02,20.73,20.98,9757000
2025-04-29 07:00:00,HPG,20.98,21.02,20.77,20.85,14467400
2025-05-05 07:00:00,HPG,20.98,21.06,20.73,21.02,12548300
2025-05-06 07:00:00,HPG,21.06,21.3,20.81,20.81,20937300
2025-05-07 07:00:00,HPG,20.73,20.85,20.73,20.77,11501800
2025-05-08 07:00:00,HPG,20.77,21.14,20.69,21.02,19892200
2025-05-09 07:00:00,HPG,21.02,21.06,20.85,20.98,11008000
2025-05-12 07:00:00,HPG,20.89,21.06,20.24,20.77,64734900
2025-05-13 07:00:00,HPG,20.94,21.26,20.94,21.1,20304600
2025-05-14 07:00:00,HPG,21.18,21.71,21.14,21.38,34073700
2025-05-15 07:00:00,HPG,21.43,21.43,21.14,21.38,22616700
2025-05-16 07:00:00,HPG,21.38,21.43,21.1,21.1,16810600
2025-05-19 07:00:00,HPG,21.06,21.22,20.89,20.98,14995700
2025-05-20 07:00:00,HPG,20.94,21.1,20.94,20.98,17449000
2025-05-21 07:00:00,HPG,21.06,21.34,20.98,21.06,20150500
2025-05-22 07:00:00,HPG,21.06,21.22,20.89,20.98,24363700
2025-05-23 07:00:00,HPG,21.06,21.14,20.89,20.94,11096000
2025-05-26 07:00:00,HPG,20.98,20.98,20.48,20.89,27433800
2025-05-27 07:00:00,HPG,20.89,21.38,20.89,20.89,26892800
2025-05-28 07:00:00,HPG,21.06,21.18,20.89,20.94,15604800
2025-05-29 07:00:00,HPG,21.02,21.1,20.85,20.89,16434100
2025-05-30 07:00:00,HPG,20.98,21.79,20.98,21.06,64975400
2025-06-02 07:00:00,HPG,20.94,20.98,20.73,20.89,21933200
2025-06-03 07:00:00,HPG,21.1,21.43,21.06,21.26,31038500
2025-06-04 07:00:00,HPG,21.34,21.59,21.22,21.22,25685700
2025-06-05 07:00:00,HPG,21.26,21.3,21.02,21.06,18786300
2025-06-06 07:00:00,HPG,21.3,21.67,21.18,21.3,42244000
2025-06-09 07:00:00,HPG,21.34,21.59,21.22,21.51,24987900
2025-06-10 07:00:00,HPG,21.67,21.96,21.43,21.43,29410900
2025-06-11 07:00:00,HPG,21.51,21.55,21.26,21.34,16548100
2025-06-12 07:00:00,HPG,21.38,22.16,21.38,21.92,52217900
2025-06-13 07:00:00,HPG,21.75,21.88,21.51,21.59,38769800
2025-06-16 07:00:00,HPG,21.55,22.08,21.55,21.88,29735100
2025-06-17 07:00:00,HPG,22.0,22.16,21.88,21.96,26625600
2025-06-18 07:00:00,HPG,22.0,22.24,21.92,22.2,31468200
2025-06-19 07:00:00,HPG,22.2,22.24,21.92,22.0,23408200
2025-06-20 07:00:00,HPG,22.08,22.16,21.96,22.08,23416400
2025-06-23 07:00:00,HPG,21.96,22.08,21.75,21.96,22192800
2025-06-24 07:00:00,HPG,22.12,22.24,22.04,22.08,27870000
2025-06-25 07:00:00,HPG,22.16,22.45,22.04,22.24,38638800
2025-06-26 07:00:00,HPG,22.64,22.73,22.34,22.39,38371000
2025-06-27 07:00:00,HPG,22.54,22.54,22.34,22.44,16481800
2025-06-30 07:00:00,HPG,22.49,22.54,22.29,22.29,19885300
2025-07-01 07:00:00,HPG,22.34,22.49,22.19,22.24,19766000
2025-07-02 07:00:00,HPG,22.24,22.49,22.14,22.49,18902100
2025-07-03 07:00:00,HPG,22.59,23.22,22.59,22.68,42514500
2025-07-04 07:00:00,HPG,22.73,22.83,22.68,22.83,19401100
2025-07-07 07:00:00,HPG,23.28,23.28,22.98,23.18,35999600
2025-07-08 07:00:00,HPG,23.22,24.36,23.13,24.26,77477100
2025-07-09 07:00:00,HPG,24.36,24.65,24.16,24.31,43462900
2025-07-10 07:00:00,HPG,24.4,24.75,24.11,24.7,85282300
2025-07-11 07:00:00,HPG,24.8,25.78,24.6,25.53,65285300
2025-07-14 07:00:00,HPG,25.73,25.98,25.09,25.29,49438500
2025-07-15 07:00:00,HPG,25.34,25.53,25.04,25.04,46507000
2025-07-16 07:00:00,HPG,24.99,25.73,24.94,25.63,45893600
2025-07-17 07:00:00,HPG,25.73,25.88,25.44,25.53,56229600
2025-07-18 07:00:00,HPG,25.53,25.63,25.29,25.44,40723400
2025-07-21 07:00:00,HPG,25.93,26.52,25.63,25.73,55773600
2025-07-22 07:00:00,HPG,25.68,25.98,25.53,25.98,31504400
2025-07-23 07:00:00,HPG,26.07,26.47,25.93,25.93,43124000
2025-07-24 07:00:00,HPG,25.93,25.98,25.44,25.53,51907400
2025-07-25 07:00:00,HPG,25.53,25.83,25.44,25.58,51078400
2025-07-28 07:00:00,HPG,25.63,26.37,25.53,25.88,99592800
2025-07-29 07:00:00,HPG,25.98,26.12,24.9,24.9,82604800
2025-07-30 07:00:00,HPG,25.14,25.29,24.65,24.94,50186000
