date,ticker,open,high,low,close,volume
2025-01-02 07:00:00,VCB,60.83,61.43,60.76,61.03,1630500
2025-01-03 07:00:00,VCB,61.03,61.36,61.03,61.1,1402200
2025-01-06 07:00:00,VCB,61.1,62.03,61.03,61.69,1936800
2025-01-07 07:00:00,VCB,61.89,61.89,61.29,61.29,1252400
2025-01-08 07:00:00,VCB,61.29,61.36,60.76,61.36,1052000
2025-01-09 07:00:00,VCB,61.1,61.23,60.9,61.03,738300
2025-01-10 07:00:00,VCB,61.03,61.36,60.7,60.7,1112500
2025-01-13 07:00:00,VCB,60.63,61.03,60.5,61.03,937600
2025-01-14 07:00:00,VCB,61.03,61.03,60.56,60.9,677300
2025-01-15 07:00:00,VCB,61.03,61.03,60.7,60.7,445300
2025-01-16 07:00:00,VCB,61.03,61.89,60.96,61.56,2460200
2025-01-17 07:00:00,VCB,61.56,61.76,61.23,61.43,1122600
2025-01-20 07:00:00,VCB,61.29,61.43,60.83,60.9,1761500
2025-01-21 07:00:00,VCB,61.16,61.16,60.63,60.7,1264900
2025-01-22 07:00:00,VCB,61.1,61.1,60.56,60.56,979100
2025-01-23 07:00:00,VCB,60.63,61.69,60.63,61.43,1685100
2025-01-24 07:00:00,VCB,61.16,61.76,61.16,61.49,944000
2025-02-03 07:00:00,VCB,61.29,61.36,60.83,60.83,1435800
2025-02-04 07:00:00,VCB,61.16,61.23,60.9,61.1,855200
2025-02-05 07:00:00,VCB,61.1,61.63,61.1,61.49,1345800
2025-02-06 07:00:00,VCB,61.63,62.03,61.56,61.69,1351600
2025-02-07 07:00:00,VCB,61.69,61.89,61.43,61.76,2260900
2025-02-10 07:00:00,VCB,61.69,61.69,61.03,61.23,2298100
2025-02-11 07:00:00,VCB,61.23,61.29,60.9,61.03,1039400
2025-02-12 07:00:00,VCB,61.03,61.43,60.76,60.76,1054100
2025-02-13 07:00:00,VCB,61.03,61.03,60.7,60.83,862300
2025-02-14 07:00:00,VCB,61.23,61.23,60.76,60.83,947800
2025-02-17 07:00:00,VCB,60.76,61.1,60.76,60.83,787100
2025-02-18 07:00:00,VCB,60.83,61.1,60.7,60.83,1065500
2025-02-19 07:00:00,VCB,60.83,60.9,60.63,60.9,1509500
2025-02-20 07:00:00,VCB,61.23,61.29,60.9,60.9,1636600
2025-02-21 07:00:00,VCB,61.16,61.83,61.16,61.83,2513400
2025-02-24 07:00:00,VCB,61.96,62.09,61.56,62.09,1956000
2025-02-25 07:00:00,VCB,62.09,62.16,61.43,61.49,1926600
2025-02-26 07:00:00,VCB,61.49,61.69,61.23,61.29,769200
2025-02-27 07:00:00,VCB,63.02,63.35,62.42,62.42,5028800
2025-02-28 07:00:00,VCB,62.56,62.56,61.96,61.96,2070800
2025-03-03 07:00:00,VCB,62.09,62.09,61.76,61.96,1251000
2025-03-04 07:00:00,VCB,61.89,62.03,61.56,61.76,2498900
2025-03-05 07:00:00,VCB,61.76,62.29,61.76,61.76,1820200
2025-03-06 07:00:00,VCB,62.09,62.56,61.89,62.09,2357600
2025-03-07 07:00:00,VCB,62.16,63.29,62.09,63.15,3999500
2025-03-10 07:00:00,VCB,64.02,64.68,63.82,64.28,4428800
2025-03-11 07:00:00,VCB,63.75,64.28,63.49,64.28,3640200
